baseline,model,n_real,folds,mean_acc,worst_acc,mean_macro_f1,worst_macro_f1,mean_f1_normal_machining,mean_f1_lead_screw_anomaly,mean_f1_base_imbalance,worst_f1_normal_machining,worst_f1_lead_screw_anomaly,worst_f1_base_imbalance
majority,majority,full,5,0.36257697886991547,0.2607003891050584,0.1766622752093822,0.1378600823045267,0.11290322580645162,0.0,0.41708359982169513,0.0,0.0,0.0
real_only,simple_cnn,10,5,0.3432593892217593,0.1448931116389548,0.25249291027778653,0.1146918889367892,0.04231100840100105,0.3121071524280905,0.40306057000426804,0.0,0.0,0.0166666666666666
real_only,simple_cnn,25,5,0.4173877716256479,0.2422802850356294,0.35300808934214417,0.1872659176029962,0.24142301191784846,0.316511870630219,0.5010893854783649,0.0,0.0,0.0277777777777777
real_only,simple_cnn,50,5,0.5315999316324059,0.1634241245136186,0.49479321096103535,0.1748366013071895,0.48679933167041023,0.37219802535637647,0.6253822758563191,0.09009009009009,0.0,0.1911764705882352
real_only,simple_cnn,full,5,0.8394360801922461,0.4785992217898833,0.8200220629814583,0.4938269139894441,0.8056775808148615,0.7017965610050527,0.9525920471244603,0.3184713375796178,0.3448275862068966,0.8181818181818182
signal_feature_only,extra_trees,10,5,0.7870780627109463,0.3229571984435798,0.7353555830483351,0.3308627570674496,0.7414084663108185,0.5582124205871659,0.9064458622470213,0.0495867768595041,0.0,0.4680851063829787
signal_feature_only,extra_trees,25,5,0.8200670822428485,0.2957198443579766,0.7869210338889998,0.3031537176274018,0.7606761241528293,0.6620214643738239,0.9380655131403464,0.0857142857142857,0.0,0.4583333333333333
signal_feature_only,extra_trees,50,5,0.8251412415347271,0.4202334630350194,0.7921900879040483,0.4508935332424655,0.7720360455960824,0.660763572672778,0.9437706454432844,0.0704225352112676,0.0,0.8205128205128205
signal_feature_only,extra_trees,full,5,0.8353030038767674,0.490272373540856,0.7981236416001962,0.5371724121909445,0.8116024850490863,0.6215909405943577,0.9611774991571449,0.2573099415204678,0.1333333333333333,0.8491048593350383
window_position_only,extra_trees,full,5,0.23972542894277055,0.0,0.22982151076248117,0.0,0.13916211293260475,0.5503024193548387,0.0,0.0,0.0,0.0
